"text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","lon","lat"
"#sleepingrough #HumanRightsDay https://t.co/UMPhkZU1VC",0,FALSE,FALSE,807674504650571776,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Sat Dec 10 19:53:02 +0000 2016",NA,NA,"und",61,FALSE,"London, UK.",75256040,"We work to enhance, preserve and protect good mental health",TRUE,"Fri Sep 18 11:21:31 +0000 2009",3175,1108,4,FALSE,"http://www.careif.org","careif","London","en",0,1125,"careif",-0.1277583,51.5073509
"RT @Mdechastonay3: #HumanRightsDay #journeedesdroitsdelHomme Stop Erdogan ! En pens<e9>es avec la population d'Alep, les Musa, le peuple<U+0085>",1,FALSE,FALSE,807674506563252224,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:02 +0000 2016",NA,NA,"fr",20,FALSE,"Le Grand Gen<e8>ve, Geneva",2922017237,"Association L'Ecolier D'ici et D'Ailleurs (EDD) - Int<e9>grations scolaires | P<e9>dagogie appliqu<e9>e - Projets | D<e9>mocratie - Migration - Environnement",TRUE,"Sun Dec 14 21:30:34 +0000 2014",671,59,297,FALSE,"http://www.lecolier.ch","EDD",NA,"en",NA,148,"MathildeMaradan",NA,NA
"RT @Berivan_Aslan_: To deny people their human rights is to challenge their very humanity.
Nelson Mandela 
#HumanRightsDay #AlanKurdi<U+0085>",19,FALSE,FALSE,807674506332540928,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:02 +0000 2016",NA,NA,"en",3,FALSE,"VIE/CT/SF/CINCY",625035873,"social sciences/ student/ volunteer/ 49ers/ SFGiants/ GSWarriors                                          *put a smile on someone's face*",FALSE,"Mon Jul 02 19:58:23 +0000 2012",1691,120,1830,FALSE,NA,"Sabi","Pacific Time (US & Canada)","en",-28800,580,"calililabby",NA,NA
"RT @saragalilo: <U+0633><U+0644><U+0645><U+064A><U+0629> 
<U+0639><U+0628><U+0631> <U+0639><U+0646> <U+0631><U+0623><U+064A><U+0643> <U+0633><U+0644><U+0645><U+064A><U+0627> 
#<U+0639><U+0635><U+064A><U+0646><U+0627>19<U+062F><U+064A><U+0633><U+0645><U+0628><U+0631>
#HumanRightsDay https://t.co/xTAlNmAauc",1,FALSE,FALSE,807674508639371264,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:03 +0000 2016",NA,NA,"ar",3,FALSE,"khartoum,Sudan",243347327,NA,FALSE,"Wed Jan 26 21:13:39 +0000 2011",1635,183,1580,FALSE,NA,"hatimalmahdi",NA,"en",NA,104,"hatimalmahdi",32.5598994,15.5006544
"RT @BNMovement_: England, London: #HumanRightsDay #UnInterveneInBalochistan

A joint protest by BNM, BRP, BSO Azad and BRSO in... https://t<U+0085>",18,FALSE,FALSE,807674509243404288,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Sat Dec 10 19:53:03 +0000 2016",NA,NA,"en",23,FALSE,"Dera Bugti",229384132,"My birth was a heavenly decision ,but choice of death remains with me.",FALSE,"Wed Dec 22 07:59:32 +0000 2010",25170,1256,1655,FALSE,NA,"Muhammad Nawaz","Islamabad","en",18000,668,"WBugti",69.0016485,28.9234485
"RT @UKLabour: On #HumanRightsDay @jeremycorbyn commemorates the signing of the Universal Declaration of Human Rights 68 years ago<U+0085>",342,FALSE,FALSE,807674510942019584,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",FALSE,"Sat Dec 10 19:53:03 +0000 2016",NA,NA,"en",136,FALSE,"Rotterdam",32842382,"justice, peace, equality and freedom for all",FALSE,"Sat Apr 18 09:38:32 +0000 2009",18188,1640,46303,FALSE,NA,"shireen slobbe-khan","Greenland","en",-10800,2172,"shireenkhan",4.4777325,51.9244201
"#educationalleadership #mentalhealth advocates will provide the information needed to erase #Stigma #HumanRightsDay<U+0085> https://t.co/I95O6q756m",0,FALSE,TRUE,807674511592198144,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Sat Dec 10 19:53:04 +0000 2016",NA,NA,"en",53,FALSE,"Halifax, Nova Scotia",712065905489006592,"Straight Talk Me is a social justice blog committed to creating social consciousness and awareness of the discrimination and degradation of humankind.",FALSE,"Mon Mar 21 23:58:36 +0000 2016",1070,47,4,FALSE,"http://straighttalkme.com","Kathy","Eastern Time (US & Canada)","en",-18000,63,"StraightTalk_Me",-63.5752387,44.6487635
"RT @Malsharifi: Imagine you were 17.

In a protest.

Now in a few days due to be beheaded&amp; crucified in Saudi.

RT 

#HumanRightsDay https:<U+0085>",285,FALSE,FALSE,807674511445426176,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:04 +0000 2016",NA,NA,"en",19,FALSE,"Missoula, MT",6462532,"Would rather be developing 4X Squad-based ARPG Sports Farming Simulators. Meanwhile, establishing the free food economy using guerrilla permaculture. #fungi",TRUE,"Thu May 31 05:29:14 +0000 2007",4085,275,6367,FALSE,NA,"Dan Lowe","America/Denver","en",-25200,1759,"alsodanlowe",-113.996586,46.8787176
"RT @ValueIt8: @chucktodd https://t.co/lWE0sKMjFQ #RussianHackers #Russia #ArmyNavyGameDay #HumanRightsDay",1,FALSE,FALSE,807674512779120640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:04 +0000 2016",NA,NA,"und",191,FALSE,"Beverly Hills, CA",717524490574409728,"#ideas changes the world. #Ideators #Creators #Nature #Art #Luxury #Tech #News #Politics #ImWithHer #RESIST",FALSE,"Wed Apr 06 01:29:04 +0000 2016",31900,1126,28798,FALSE,NA,"Ideate Vision <ed><U+00A0><U+00BD><ed><U+00B3><U+008E><U+2696>",NA,"en",NA,1914,"ideate_vision",-118.4003563,34.0736204
"RT @nasir9002: Islam in Pakistan would have been in a better shapr without these jerks of CII #HumanRightsDay https://t.co/AUZ5nwo4nA",2,FALSE,FALSE,807674516344291328,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:05 +0000 2016",NA,NA,"en",20,FALSE,"London, England",780823986611494912,"Love For All, Hatred For None.",FALSE,"Tue Sep 27 17:38:40 +0000 2016",2865,125,4798,FALSE,NA,"Rajput.","Pacific Time (US & Canada)","en",-28800,723,"survivor_00",-0.1277583,51.5073509
"Here's some terrific videos that explain #humanrights  https://t.co/5hrIrlnLNu #HumanRightsDay",0,FALSE,FALSE,807674521427656704,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:06 +0000 2016",NA,NA,"en",404,FALSE,"Melbourne, Australia",54824275,"Castan Centre for Human Rights Law. Our mission is to protect and promote human rights. Part of @MonashLawSchool. Become a member: http://bit.ly/29k8IYJ",FALSE,"Wed Jul 08 06:54:10 +0000 2009",36592,8677,338,FALSE,"http://www.monash.edu/law/centres/castancentre","Castan Centre","Melbourne","en",39600,1789,"CastanCentre",144.9630576,-37.8136276
"RT @Lucasjalyl: Mi mammage kanboduvun HRCM ah fennan jehey. Rilwan mamma <ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #HumanRightsDay #FindMoyaMeehaa https://t.co/CRRuIrz0ms",63,FALSE,FALSE,807674523579518976,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:06 +0000 2016",NA,NA,"fi",10,FALSE,"male'",46124620,"In the name of Allah",TRUE,"Wed Jun 10 14:32:37 +0000 2009",11216,1906,96,FALSE,NA,"#FreeMyNation#","Pacific Time (US & Canada)","en",-28800,3543,"ARaxxxaq",73.5093474,4.1754959
"RT @GlobalRepCentre: <U+0093>I want to do something about the anti-Semitic problem here in Malm<f6><U+0094> #HumanRightsDay https://t.co/sWjf1JAGcE<U+0085>",7,FALSE,FALSE,807674524103753728,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:07 +0000 2016",NA,NA,"en",16,FALSE,"Toronto, Ontario",321603395,"Journalist. 2014 Knight Fellow@Stanford. Interest in Internat'l issues, Social Entrep., Teaching, Peacebuilding Media. Views mine, but some are nicked.",TRUE,"Tue Jun 21 20:54:39 +0000 2011",1135,376,79,FALSE,"https://www.linkedin.com/profile/preview?vpa=pub&locale=en_US","Kennedy Jawoko","Eastern Time (US & Canada)","en",-18000,955,"KJawoko",-79.3831843,43.653226
"RT @alka_saxena1: <U+0926><U+0947><U+0936><U+0926><U+094D><U+0930><U+094B><U+0939><U+093F><U+092F><U+094B><U+0902> <U+0915><U+094B> <U+0938><U+092C><U+0915> <U+0938><U+093F><U+0916><U+093E><U+0928><U+0947> <U+0915><U+0947> <U+0930><U+094B><U+091C><U+093C> <U+0928><U+092F><U+0947> <U+0915><U+0940><U+0930><U+094D><U+0924><U+093F><U+092E><U+093E><U+0928> <U+0938><U+094D><U+0925><U+093E><U+092A><U+093F><U+0924> <U+0939><U+094B> <U+0930><U+0939><U+0947> <U+0939><U+0948><U+0902><U+0964> #HumanRightsDay <U+092A><U+0930> <U+091C><U+0928><U+0939><U+093F><U+0924> <U+092E><U+0947><U+0902> <U+091C><U+093E><U+0930><U+0940><U+0964> https://t.co/yv5e<U+0085>",51,FALSE,FALSE,807674526611869696,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:07 +0000 2016",NA,NA,"hi",43,FALSE,"Salkia, Haora",374650890,NA,FALSE,"Fri Sep 16 17:48:48 +0000 2011",35495,371,2475,FALSE,NA,"sadhana","Indiana (East)","en",-18000,257,"sasha557931",88.3376845,22.5972179
"RT @tariqnasheed: #HumanRightsDay the only ""humans"" who are being systematically &amp; legally executed with impunity are BLACK HUMANS, so what<U+0085>",23,FALSE,FALSE,807674527455047680,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:07 +0000 2016",NA,NA,"en",11,FALSE,"<dc>T: 35.040429,-89.798782",16055461,"Mysterious, Patient & Reflective An energy of Love, Light & Life. Urban Yogi mystic Water/Fire 10/28 #FullMoonChild #ScorpionicSun #AriesMoon #Hepicat",TRUE,"Sat Aug 30 15:33:25 +0000 2008",5082,720,7066,FALSE,NA,"Mister Ceasar","Central Time (US & Canada)","en",-21600,964,"mrceasar",-77.010345,38.915776
"RT @ericardgrs: As we celebrate #HumanRightsDay, let's not forget that we are not there yet. Our March for equality, justice &amp; respect for<U+0085>",4,FALSE,FALSE,807674533738119168,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:09 +0000 2016",NA,NA,"en",4,FALSE,"District of Columbia, USA",747815037775949824,"Political fanatic. Intersectional feminist. Human rights activist. Amateur dancer and actress. hella gay. Radical commentary on global and domestic affairs.",FALSE,"Tue Jun 28 15:32:53 +0000 2016",285,23,278,FALSE,NA,"Dima Alhesan",NA,"en",NA,90,"DashingDimz",-77.0368707,38.9071923
"RT @BlackToLive: A right delayed is a right denied<U+00A0><U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><U+00A0>#HumanRightsDay https://t.co/dED4BR0pvQ https://t.co/rCpcx8MN2N",174,FALSE,FALSE,807674533851369472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:09 +0000 2016",NA,NA,"en",33,FALSE,"Newark, NJ",36750672,NA,TRUE,"Thu Apr 30 19:39:27 +0000 2009",6343,443,4014,FALSE,"http://m.soundcloud.com/you/tracks","GQ Drew","Eastern Time (US & Canada)","en",-18000,295,"MrClutchCFT",-74.1723667,40.735657
"RT @bouska: homophobia
transphobia
xenophobia
sexism
racism
hate is hate.
stop judging, start loving.
#HumanRightsDay",469,FALSE,FALSE,807674534924951552,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:09 +0000 2016",NA,NA,"en",100,FALSE,"Tucson, AZ",630472644,"Holistic #OutPatient #Opiate Treatment Center, Addiction/Psych/Hypnotherapist, https://t.co/08HHpMbPbq https://t.co/HihQ6r6LpV Love Spirit & Nature!",TRUE,"Sun Jul 08 17:48:48 +0000 2012",2736,2580,5580,FALSE,"http://www.transformationalconceptspllc.com","TransformConcepts","Arizona","en",-25200,3741,"Opendoor2life",-110.926479,32.2217429
"#HumanRightsDay no #TwitterSilence",0,FALSE,FALSE,807674540834848768,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:11 +0000 2016",NA,NA,"und",23,FALSE,"America",715020415,"Just a girl that likes to tweet what is on my mind",TRUE,"Tue Jul 24 22:19:12 +0000 2012",71273,2853,4704,FALSE,NA,"Scarlet","Eastern Time (US & Canada)","en",-18000,4615,"scarlet49894",-95.712891,37.09024
"RT @UMDiaspora: For 12 years, UMD has been a leader in #humanrights advocacy for #Macedonia &amp; #Macedonians worldwide #HumanRightsDay https:<U+0085>",1,FALSE,FALSE,807674544530092032,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:11 +0000 2016",NA,NA,"en",2,FALSE,"New York - Bitola, Macedonia",515041119,"<U+043C><U+0430><U+043A><U+0435><U+0434><U+043E><U+043D><U+0435><U+0446> - <U+0441><U+0440><U+0431><U+0438><U+043D> - Barista - SJFC - Med Student.",FALSE,"Mon Mar 05 03:16:28 +0000 2012",4580,324,3385,FALSE,NA,"Ac<e8> Stankovski","Eastern Time (US & Canada)","en",-18000,204,"AceStankovski",NA,NA
"RT @iPantellas: <U+00AB>Tutti gli esseri umani nascono liberi ed eguali in dignit<e0> e diritti.<U+00BB>

Rispetto. Sempre. #HumanRightsDay",89,FALSE,FALSE,807674545796771840,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:12 +0000 2016",NA,NA,"it",0,FALSE,"Como, Lombardia",767668479772221440,NA,FALSE,"Mon Aug 22 10:23:22 +0000 2016",34,9,181,FALSE,NA,"Roby Butti",NA,"it",NA,20,"RobyButti",9.092748,45.7992814
"RT @TheBushCenter: On #HumanRightsDay, watch what #freedom &amp; #humanrights mean to our Liberty &amp; Leadership Young Leaders from Burma https:/<U+0085>",4,FALSE,FALSE,807674548678230016,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:12 +0000 2016",NA,NA,"en",14,FALSE,"Dallas, TX",54722985,"Manager for Human Freedom @TheBushCenter. Native Cape Codder. Boston sports fan. My personal Twitter and opinions my own.",FALSE,"Tue Jul 07 23:39:16 +0000 2009",1133,267,420,FALSE,NA,"Christopher Walsh","Central Time (US & Canada)","en",-21600,568,"ChrisJamesWalsh",-96.7969879,32.7766642
"RT @AmanteshwarS: @bapusuratsingh #HumanRightsDay woke up please",2,FALSE,FALSE,807674549319925760,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:13 +0000 2016",NA,NA,"en",38,FALSE,"London, England",3299464023,"Raising awareness of 83 year old Bapu Surat Singh, on HungerStrike to free Sikh political prisoners! We rely on social media to raise awareness of Sikh matters.",FALSE,"Tue May 26 16:41:21 +0000 2015",36163,4830,4178,FALSE,"https://www.facebook.com/bapusuratsingh","BapuSuratSingh",NA,"en-GB",NA,381,"bapusuratsingh",-0.1277583,51.5073509
"RT @KamalaHarris: Women<U+0092>s rights.
LGBT rights.
Indigenous rights.
Immigration rights.
On #HumanRightsDay, let<U+0092>s re-dedicate ourselves to fi<U+0085>",327,FALSE,FALSE,807674557863784448,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:15 +0000 2016",NA,NA,"en",25,FALSE,"SoCal<U+2600><U+FE0F>",106362740,"Puppies are lifeee<U+2764><U+FE0F>Boston",TRUE,"Tue Jan 19 09:24:24 +0000 2010",2713,358,19864,FALSE,NA,"Tatiana DiazGallegos","Pacific Time (US & Canada)","en",-28800,367,"Tatianadgg",NA,NA
"#THEJEDEYE1 SONG OF THE DAY
FOR FRIDAY DECEMBER 9, 2016
IS ""SLOW DOWN""
BY LOOSE ENDS
(YEAR-1986)
https://t.co/mp1NFdFj91
#HumanRightsDay",0,FALSE,FALSE,807674557708414976,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:15 +0000 2016",NA,NA,"en",73,FALSE,"Whereabouts Unknown",310702193,"If You Lost Your Way You'll Make It Back Homelessness Is Only Survived with an Escape Plan. Motivational Singer with R&B and Gospel 
DEUTERONOMY 28:1-13",TRUE,"Sat Jun 04 06:11:25 +0000 2011",41978,1279,4828,FALSE,"http://www.tj1.tv","THEJEDEYE1","Pacific Time (US & Canada)","en",-28800,384,"THEJEDEYE1",NA,NA
"RT @a_shopra: #<U+0627><U+0644><U+064A><U+0648><U+0645>_<U+0627><U+0644><U+0639><U+0627><U+0644><U+0645><U+064A>_<U+0644><U+062D><U+0642><U+0648><U+0642>_<U+0627><U+0644><U+0627><U+0646><U+0633><U+0627><U+0646>
#HumanRightsDay
<U+062A><U+0635><U+0627><U+0639><U+062F> <U+062D><U+0627><U+062F> <U+0644><U+062D><U+0627><U+0644><U+0627><U+062A> <U+0627><U+0644><U+062A><U+0639><U+0630><U+064A><U+0628> <U+0628><U+0627><U+0644><U+0633><U+062C><U+0648><U+0646>
<U+0648><U+062A><U+0646><U+0648><U+0639> <U+062D><U+0627><U+0644><U+0627><U+062A> <U+0627><U+0644><U+0627><U+0646><U+062A><U+0647><U+0627><U+0643><U+0627><U+062A> <U+0627><U+0644><U+0645><U+0639><U+0646><U+0648><U+064A><U+0647> <U+0648><U+0627><U+0644><U+062C><U+0633><U+0085>",35,FALSE,FALSE,807674561877704704,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:16 +0000 2016",NA,NA,"ar",0,FALSE,"Egypt",633956648,NA,TRUE,"Thu Jul 12 18:50:15 +0000 2012",3325,340,1754,FALSE,NA,"<U+0645><U+062D><U+0645><U+062F> <U+0627><U+0644><U+0646><U+062C><U+0627><U+0631>","Baghdad","en",10800,738,"mo_elnaggar",30.802498,26.820553
